Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
4.1,6,32,4.77,48,8,3000,649
3.5,6,64,4.5,48,8,3000,749
4.1,6,32,4.5,48,16,3000,649
4.4,6,128,6.5,40,2,3750,13699
3.9,6,32,4.5,48,8,3000,813
3.8,6,32,44,48,8,3000,890
4.4,6,64,6.38,48,8,4700,18999
3.9,6,32,4.5,48,8,1750,999
3.6,6,64,4.5,48,8,3000,649
3.7,6,64,4.5,48,12,3000,1199
4.1,6,32,4.54,48,8,3000,899
4.3,4,64,4.8,38,2,3000,15999
4,12,24,4.5,48,8,3500,799
4.4,8,128,6.7,48,8,3000,52962
3.5,6,64,4.5,48,20,3000,1299
3.4,6,32,4.77,48,8,3500,735
4.4,3,32,6.2,48,16,3800,12999
4.2,4,64,5.99,40,12,3010,14990
4.2,6,128,6.08,48,8,4030,17190
4.6,4,64,6.2,35,8,3500,53990
4.2,6,32,4.54,64,8,3000,990
4.4,2,16,6.1,38,2,3800,6499
4.4,6,64,6.5,40,2,3750,19999
3.8,6,32,4.5,48,8,3000,1199
4.1,4,3,4.5,48,12,3000,949
4,6,32,4.5,48,8,3500,948
3.4,0,64,4.5,48,8,3000,595
4.1,6,32,4.54,48,8,3000,3149
4.5,6,64,6.18,35,5,3800,21999
3.5,6,64,4.5,48,16,3000,1199
3.5,6,64,4.5,48,8,3000,1199
3.3,2,16,5,8,8,2000,7199
3.9,6,32,4.5,64,20,3000,950
4.2,4,2,2,48,8,3000,2025
3.5,6,64,4.5,48,20,3000,669
4.1,6,32,4.5,48,8,3000,849
4.1,6,32,4.5,48,20,3000,850
3.6,6,64,4.5,48,8,3000,639
4.1,6,32,4.54,48,20,3000,1199
4.7,12,64,5.8,35,12,3500,84900
4.3,4,128,5.84,38,2,3000,19999
4,6,32,4.54,48,8,3000,1640
3.4,6,64,4.5,48,20,3000,599
3.7,6,64,4.5,48,20,3000,1199
4.4,3,32,6.1,38,5,3260,13990
4,6,32,4.5,64,8,3000,599
4.5,6,128,5.8,48,12,3100,59000
3.2,6,64,44,48,8,3500,899
4.1,6,32,4.5,48,20,3000,1111
4.1,6,32,4.5,48,15,3000,1099
3.3,6,25,4.54,64,8,3000,715
3.9,6,32,4.54,48,8,1200,1199
4.3,3,64,6.22,38,2,5000,9998
3.5,1,20,4.54,48,8,2800,849
4.4,4,128,6.35,38,2,5000,13900
4.1,6,32,4.54,48,5,3000,850
3.8,4,64,4.54,48,8,1200,4399
4.2,6,128,6.08,48,8,4030,17398
3.4,6,64,4.5,48,5,3000,1099
3.6,6,20,4.5,48,8,3000,599
4.3,4,128,5.84,38,2,3000,19999
4.5,6,32,4.5,48,8,2500,799
4.7,8,64,5.8,35,12,3500,112450
4.4,6,64,6.5,48,5,3800,24990
3.9,6,32,4.58,48,5,3000,1499
4.5,6,64,6.3,48,2,3500,19990
4.8,12,15,4.5,35,8,2800,899
3.1,6,32,4.5,48,8,3000,599
3.5,6,64,4.5,48,21,3000,1099
4.4,4,64,5.99,48,2,3225,22221
3.5,8,32,4.5,48,13,2500,799
4,6,32,4.5,48,13,3500,899
3.9,6,32,4.54,48,8,1200,1273
4.3,8,64,4.77,48,8,3000,649
3.5,6,64,4.5,48,12,3000,1099
4.6,8,64,5.5,35,12,3500,49900
4.5,8,256,6.3,35,12,3500,75000
4.4,4,64,6,48,8,3750,11950
4.1,4,4,4.54,48,12,3000,1540
3.2,6,64,44,48,8,3500,899
4.2,6,24,4.54,48,12,1750,1480
3.7,6,64,4.5,48,8,3000,639
4.1,6,32,4.5,48,0,1050,849
4,6,32,4.58,48,20,3700,1300
3.6,6,64,4.5,48,8,3000,1199
3.4,6,64,4.5,48,14,3000,599
3.8,8,64,4.77,48,8,3000,649
3.8,6,64,4.5,48,11,3500,870
4.5,10,10,4.5,48,11,3000,920
3,6,35,4.54,48,23,2800,949
